, ID3=0x11, v3=0.00, vZ3=0.29
ID=0x12, v1=0.00, vZ1=32.77,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=29.66
ID=0x12, v1=0.00, vZ1=34.02,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=31.08
ID=0x12, v1=0.00, vZ1=35.33,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=36.64,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=37.79,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=38.61,ID2=0x13, v2=0.00, vZ2=-7.08, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=38.97,ID2=0x13, v2=0.00, vZ2=-0.92, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=38.85,ID2=0x13, v2=0.00, vZ2=21.59, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=38.28,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=37.34,ID2=0x13, v2=0.00, vZ2=5.27, ID3=0x11, v3=0.00, vZ3=33.39
ID=0x12, v1=0.00, vZ1=36.12,ID2=0x13, v2=0.00, vZ2=21.59, ID3=0x11, v3=0.00, vZ3=16.54
ID=0x12, v1=0.00, vZ1=34.61,ID2=0x13, v2=0.00, vZ2=11.24, ID3=0x11, v3=0.00, vZ3=35.13
ID=0x12, v1=0.00, vZ1=32.83,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=33.24
ID=0x12, v1=0.00, vZ1=31.08,ID2=0x13, v2=0.00, vZ2=11.24, ID3=0x11, v3=0.00, vZ3=34.58
ID=0x12, v1=0.00, vZ1=29.65,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=29.12
ID=0x12, v1=0.00, vZ1=28.59,ID2=0x13, v2=0.00, vZ2=16.74, ID3=0x11, v3=0.00, vZ3=39.72
ID=0x12, v1=0.00, vZ1=27.82,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=27.95
ID=0x12, v1=0.00, vZ1=27.22,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=40.00
ID=0x12, v1=0.00, vZ1=26.46,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=25.14,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=23.15,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=27.38
ID=0x12, v1=0.00, vZ1=20.65,ID2=0x13, v2=0.00, vZ2=25.60, ID3=0x11, v3=0.00, vZ3=27.38
